session,line,ts_start,ts_end,wav,wav_found,pattern,text,file_size,full_path,label,correction
transcript_20260311_235011,56,00:04:37.568,00:04:38.144,04m37.568s-04m38.144s.wav,True,字幕,中文字幕提供,19500,transcript_20260311_235011/04m37.568s-04m38.144s.wav,辨識錯誤,重點
transcript_20260311_235011,382,00:23:37.632,00:23:37.760,23m37.632s-23m37.760s.wav,True,字幕,字幕志願者 楊茜茜,5164,transcript_20260311_235011/23m37.632s-23m37.760s.wav,無音效,
transcript_20260311_235011,414,00:25:44.800,00:25:45.152,25m44.800s-25m45.152s.wav,True,我們下[期集]再見,我們下期再見,12332,transcript_20260311_235011/25m44.800s-25m45.152s.wav,無音效,
transcript_20260311_235011,445,00:27:21.440,00:27:21.632,27m21.440s-27m21.632s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,7212,transcript_20260311_235011/27m21.440s-27m21.632s.wav,無音效,
transcript_20260311_235011,526,00:31:23.264,00:31:23.456,31m23.264s-31m23.456s.wav,True,MING PAO,MING PAO CANADA MING PAO TORONTO,7212,transcript_20260311_235011/31m23.264s-31m23.456s.wav,無音效,
transcript_20260311_235011,532,00:31:44.000,00:31:44.192,31m44.000s-31m44.192s.wav,True,字幕,中文字幕 李宗盛,7212,transcript_20260311_235011/31m44.000s-31m44.192s.wav,無音效,
transcript_20260311_235011,628,00:37:09.216,00:37:09.568,37m09.216s-37m09.568s.wav,True,字幕,中文字幕志願者 李宗盛,12332,transcript_20260311_235011/37m09.216s-37m09.568s.wav,無音效,
transcript_20260311_235011,667,00:38:52.672,00:38:53.056,38m52.672s-38m53.056s.wav,True,字幕,中文字幕 李宗盛,13356,transcript_20260311_235011/38m52.672s-38m53.056s.wav,無音效,
transcript_20260311_235011,725,00:42:30.880,00:42:31.136,42m30.880s-42m31.136s.wav,True,字幕,字幕由 Amara.org 社群提供,9260,transcript_20260311_235011/42m30.880s-42m31.136s.wav,無音效,
transcript_20260311_235011,750,00:43:39.680,00:43:39.808,43m39.680s-43m39.808s.wav,True,字幕,中文字幕提供,5164,transcript_20260311_235011/43m39.680s-43m39.808s.wav,無音效,
transcript_20260311_235011,752,00:43:47.296,00:43:47.424,43m47.296s-43m47.424s.wav,True,字幕,字幕by索蘭婭,5164,transcript_20260311_235011/43m47.296s-43m47.424s.wav,無音效,
transcript_20260311_235011,824,00:49:20.128,00:49:20.384,49m20.128s-49m20.384s.wav,True,by bwd6,by bwd6,9260,transcript_20260311_235011/49m20.128s-49m20.384s.wav,無音效,
transcript_20260311_235011,903,00:53:27.488,00:53:34.432,53m27.488s-53m34.432s.wav,True,我們下[期集]再見,大家都可以反覆的聽這一集那再次感謝黃醫師謝謝今天這集播音錄到這邊VS綜藝沒有電我們下集再見掰掰,223276,transcript_20260311_235011/53m27.488s-53m34.432s.wav,正確辨識,
transcript_20260311_235011,905,00:53:35.552,00:53:35.776,53m35.552s-53m35.776s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,8236,transcript_20260311_235011/53m35.552s-53m35.776s.wav,無音效,
transcript_20260311_235011,1003,01:01:12.576,01:01:12.896,61m12.576s-61m12.896s.wav,True,字幕,中文字幕提供,11308,transcript_20260311_235011/61m12.576s-61m12.896s.wav,無音效,
transcript_20260311_235011,1026,01:03:02.720,01:03:02.944,63m02.720s-63m02.944s.wav,True,字幕,中文字幕提供,8236,transcript_20260311_235011/63m02.720s-63m02.944s.wav,無音效,
transcript_20260311_235011,1027,01:03:02.976,01:03:03.200,63m02.976s-63m03.200s.wav,True,字幕,中文字幕 李宗盛,8236,transcript_20260311_235011/63m02.976s-63m03.200s.wav,無音效,
transcript_20260311_235011,1192,01:13:48.960,01:13:49.216,73m48.960s-73m49.216s.wav,True,字幕,中文字幕 李宗盛,9260,transcript_20260311_235011/73m48.960s-73m49.216s.wav,無音效,
transcript_20260311_235011,1381,01:26:43.360,01:26:43.680,86m43.360s-86m43.680s.wav,True,字幕,中文字幕志願者 李宗盛,11308,transcript_20260311_235011/86m43.360s-86m43.680s.wav,無音效,
transcript_20260311_235011,1552,01:38:07.392,01:38:07.744,98m07.392s-98m07.744s.wav,True,字幕,字幕志願者 楊棟樑,12332,transcript_20260311_235011/98m07.392s-98m07.744s.wav,無法辨識,
transcript_20260311_235011,1580,01:39:58.304,01:39:58.560,99m58.304s-99m58.560s.wav,True,字幕,中文字幕 李宗盛,9260,transcript_20260311_235011/99m58.304s-99m58.560s.wav,無音效,
transcript_20260311_235011,1589,01:40:37.472,01:40:37.856,100m37.472s-100m37.856s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,13356,transcript_20260311_235011/100m37.472s-100m37.856s.wav,無音效,
transcript_20260311_235011,1665,01:46:06.688,01:46:07.328,106m06.688s-106m07.328s.wav,True,字幕,中文字幕 李宗盛,21548,transcript_20260311_235011/106m06.688s-106m07.328s.wav,辨識錯誤,生完以後
transcript_20260311_235011,1730,01:49:49.504,01:49:49.728,109m49.504s-109m49.728s.wav,True,字幕,中文字幕提供,8236,transcript_20260311_235011/109m49.504s-109m49.728s.wav,無音效,
transcript_20260311_235011,1956,02:04:01.344,02:04:02.080,124m01.344s-124m02.080s.wav,True,字幕,中文字幕志願者 李宗盛,24620,transcript_20260311_235011/124m01.344s-124m02.080s.wav,辨識錯誤,重疊的
transcript_20260311_235011,1967,02:04:30.496,02:04:30.624,124m30.496s-124m30.624s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,5164,transcript_20260311_235011/124m30.496s-124m30.624s.wav,無音效,
transcript_20260311_235011,2299,02:24:06.112,02:24:06.272,144m06.112s-144m06.272s.wav,True,字幕,中文字幕提供,6188,transcript_20260311_235011/144m06.112s-144m06.272s.wav,無音效,
transcript_20260311_235011,2411,02:30:26.144,02:30:30.144,150m26.144s-150m30.144s.wav,True,我們下[期集]再見,今天這集播音錄到這邊VS中間沒有點我們下集再見 掰掰,129068,transcript_20260311_235011/150m26.144s-150m30.144s.wav,正確辨識,
transcript_20260311_235011,2736,02:46:40.512,02:46:40.640,166m40.512s-166m40.640s.wav,True,字幕,中文字幕志願者 李宗盛,5164,transcript_20260311_235011/166m40.512s-166m40.640s.wav,無音效,
transcript_20260311_235011,2810,02:49:59.520,02:49:59.744,169m59.520s-169m59.744s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,8236,transcript_20260311_235011/169m59.520s-169m59.744s.wav,無音效,
transcript_20260311_235011,2813,02:50:03.072,02:50:03.680,170m03.072s-170m03.680s.wav,True,優優獨播劇場,優優獨播劇場——YoYo Television Series Exclusive,20524,transcript_20260311_235011/170m03.072s-170m03.680s.wav,辨識錯誤,越叛逆
transcript_20260311_235011,2922,02:54:17.056,02:54:17.280,174m17.056s-174m17.280s.wav,True,字幕,中文字幕志願者 李宗盛,8236,transcript_20260311_235011/174m17.056s-174m17.280s.wav,無音效,
transcript_20260311_235011,2947,02:55:19.072,02:55:19.360,175m19.072s-175m19.360s.wav,True,感謝[觀收]看,感謝觀看,10284,transcript_20260311_235011/175m19.072s-175m19.360s.wav,無音效,
transcript_20260311_235011,2968,02:56:13.984,02:56:14.272,176m13.984s-176m14.272s.wav,True,感謝[觀收]看,感謝觀看,10284,transcript_20260311_235011/176m13.984s-176m14.272s.wav,無音效,
transcript_20260311_235011,2977,02:56:29.888,02:56:30.176,176m29.888s-176m30.176s.wav,True,字幕,中文字幕提供,10284,transcript_20260311_235011/176m29.888s-176m30.176s.wav,無音效,
transcript_20260311_235011,2995,02:57:05.056,02:57:05.408,177m05.056s-177m05.408s.wav,True,明鏡[及與]點點欄目,明鏡及點點欄目,12332,transcript_20260311_235011/177m05.056s-177m05.408s.wav,無音效,
transcript_20260311_235011,3137,03:03:26.048,03:03:26.304,183m26.048s-183m26.304s.wav,True,感謝[觀收]看,感謝觀看,9260,transcript_20260311_235011/183m26.048s-183m26.304s.wav,無音效,
transcript_20260311_235011,3142,03:03:33.312,03:03:33.920,183m33.312s-183m33.920s.wav,True,下[期集]見,我們下期見,20524,transcript_20260311_235011/183m33.312s-183m33.920s.wav,辨識錯誤,你叫他
transcript_20260311_235011,3146,03:03:42.752,03:03:42.976,183m42.752s-183m42.976s.wav,True,感謝[觀收]看,感謝觀看,8236,transcript_20260311_235011/183m42.752s-183m42.976s.wav,無音效,
transcript_20260311_235011,3163,03:04:17.184,03:04:17.472,184m17.184s-184m17.472s.wav,True,感謝[觀收]看,感謝觀看,10284,transcript_20260311_235011/184m17.184s-184m17.472s.wav,無音效,
transcript_20260311_235011,3254,03:07:44.640,03:07:44.960,187m44.640s-187m44.960s.wav,True,字幕,中文字幕志願者 楊茜茜,11308,transcript_20260311_235011/187m44.640s-187m44.960s.wav,無音效,
transcript_20260311_235011,3266,03:08:03.936,03:08:04.224,188m03.936s-188m04.224s.wav,True,字幕,中文字幕提供,10284,transcript_20260311_235011/188m03.936s-188m04.224s.wav,無音效,
transcript_20260311_235011,3268,03:08:08.032,03:08:08.384,188m08.032s-188m08.384s.wav,True,MING PAO,MING PAO CANADA MANGA,12332,transcript_20260311_235011/188m08.032s-188m08.384s.wav,無音效,
transcript_20260311_235011,3297,03:09:24.896,03:09:25.472,189m24.896s-189m25.472s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,19500,transcript_20260311_235011/189m24.896s-189m25.472s.wav,辨識錯誤,方法嗎
transcript_20260311_235011,3302,03:09:43.552,03:09:43.680,189m43.552s-189m43.680s.wav,True,字幕,字幕志願者 楊茜茜,5164,transcript_20260311_235011/189m43.552s-189m43.680s.wav,無音效,
transcript_20260311_235011,3496,03:18:04.608,03:18:05.120,198m04.608s-198m05.120s.wav,True,字幕,中文字幕——YK,17452,transcript_20260311_235011/198m04.608s-198m05.120s.wav,辨識錯誤,那個
transcript_20260311_235011,3580,03:21:44.960,03:21:45.248,201m44.960s-201m45.248s.wav,True,感謝[觀收]看,感謝觀看,10284,transcript_20260311_235011/201m44.960s-201m45.248s.wav,無音效,
transcript_20260311_235011,3600,03:22:42.592,03:22:43.328,202m42.592s-202m43.328s.wav,True,明鏡需要您的支援,明鏡需要您的支援 歡迎觀看,24620,transcript_20260311_235011/202m42.592s-202m43.328s.wav,辨識錯誤,得名的
transcript_20260311_235011,3682,03:27:29.120,03:27:29.536,207m29.120s-207m29.536s.wav,True,明鏡[及與]點點欄目,明鏡與點點欄目,14380,transcript_20260311_235011/207m29.120s-207m29.536s.wav,無法辨識,
transcript_20260311_235011,3716,03:30:14.912,03:30:15.168,210m14.912s-210m15.168s.wav,True,我們下[期集]再見,我們下期再見,9260,transcript_20260311_235011/210m14.912s-210m15.168s.wav,無音效,
transcript_20260311_235011,3915,03:40:06.336,03:40:06.592,220m06.336s-220m06.592s.wav,True,感謝[觀收]看,感謝觀看,9260,transcript_20260311_235011/220m06.336s-220m06.592s.wav,無音效,
transcript_20260311_235011,3950,03:41:45.376,03:41:45.568,221m45.376s-221m45.568s.wav,True,字幕,中文字幕 李宗盛,7212,transcript_20260311_235011/221m45.376s-221m45.568s.wav,無音效,
transcript_20260311_235011,3959,03:42:02.656,03:42:03.008,222m02.656s-222m03.008s.wav,True,by bwd6,by bwd6,12332,transcript_20260311_235011/222m02.656s-222m03.008s.wav,無音效,
transcript_20260311_235011,4042,03:45:33.248,03:45:34.112,225m33.248s-225m34.112s.wav,True,明鏡[及與]點點欄目,明鏡與點點欄目,28716,transcript_20260311_235011/225m33.248s-225m34.112s.wav,無法辨識,
transcript_20260311_235011,4171,03:50:33.536,03:50:33.824,230m33.536s-230m33.824s.wav,True,感謝[觀收]看,感謝觀看,10284,transcript_20260311_235011/230m33.536s-230m33.824s.wav,無音效,
transcript_20260311_235011,4192,03:51:34.720,03:51:35.040,231m34.720s-231m35.040s.wav,True,字幕,中文字幕志願者 楊茜茜,11308,transcript_20260311_235011/231m34.720s-231m35.040s.wav,無音效,
transcript_20260311_235011,4211,03:52:14.144,03:52:14.496,232m14.144s-232m14.496s.wav,True,MING PAO,MING PAO CANADA MING PAO TORONTO,12332,transcript_20260311_235011/232m14.144s-232m14.496s.wav,無音效,
transcript_20260311_235011,4264,03:54:16.960,03:54:17.216,234m16.960s-234m17.216s.wav,True,字幕,中文字幕志願者 李宗盛,9260,transcript_20260311_235011/234m16.960s-234m17.216s.wav,無音效,
transcript_20260311_235011,4267,03:54:22.624,03:54:23.232,234m22.624s-234m23.232s.wav,True,明鏡需要您的支援,明鏡需要您的支援 歡迎訂閱明鏡,20524,transcript_20260311_235011/234m22.624s-234m23.232s.wav,無法辨識,
transcript_20260311_235011,4427,04:01:17.792,04:01:18.080,241m17.792s-241m18.080s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,10284,transcript_20260311_235011/241m17.792s-241m18.080s.wav,無音效,
transcript_20260311_235011,4503,04:03:51.136,04:03:51.456,243m51.136s-243m51.456s.wav,True,字幕,中文字幕志願者 李宗盛,11308,transcript_20260311_235011/243m51.136s-243m51.456s.wav,無音效,
transcript_20260311_235011,4576,04:07:05.184,04:07:05.440,247m05.184s-247m05.440s.wav,True,感謝[觀收]看,感謝觀看,9260,transcript_20260311_235011/247m05.184s-247m05.440s.wav,無音效,
transcript_20260311_235011,4700,04:12:17.472,04:12:17.792,252m17.472s-252m17.792s.wav,True,我們下[期集]再見,我們下期再見,11308,transcript_20260311_235011/252m17.472s-252m17.792s.wav,無音效,
transcript_20260311_235011,4857,04:19:28.832,04:19:29.024,259m28.832s-259m29.024s.wav,True,字幕,中文字幕志願者 李宗盛,7212,transcript_20260311_235011/259m28.832s-259m29.024s.wav,無音效,
transcript_20260311_235011,4992,04:27:47.328,04:27:47.584,267m47.328s-267m47.584s.wav,True,我們下[期集]再見,我們下期再見,9260,transcript_20260311_235011/267m47.328s-267m47.584s.wav,無音效,
transcript_20260311_235011,5020,04:29:51.264,04:29:51.488,269m51.264s-269m51.488s.wav,True,感謝[觀收]看,感謝觀看,8236,transcript_20260311_235011/269m51.264s-269m51.488s.wav,無音效,
transcript_20260311_235011,5215,04:39:17.600,04:39:17.728,279m17.600s-279m17.728s.wav,True,字幕,中文字幕提供,5164,transcript_20260311_235011/279m17.600s-279m17.728s.wav,無音效,
transcript_20260311_235011,5281,04:42:32.832,04:42:33.184,282m32.832s-282m33.184s.wav,True,MING PAO,MING PAO CANADA MING PAO TORONTO,12332,transcript_20260311_235011/282m32.832s-282m33.184s.wav,無音效,
transcript_20260311_235011,5380,04:46:37.760,04:46:38.176,286m37.760s-286m38.176s.wav,True,我們下[期集]再見,我們下期再見,14380,transcript_20260311_235011/286m37.760s-286m38.176s.wav,辨識錯誤,對不對
transcript_20260311_235011,5421,04:48:18.944,04:48:19.168,288m18.944s-288m19.168s.wav,True,字幕,中文字幕 李宗盛,8236,transcript_20260311_235011/288m18.944s-288m19.168s.wav,無音效,
transcript_20260311_235011,5582,04:55:24.896,04:55:25.408,295m24.896s-295m25.408s.wav,True,明鏡[及與]點點欄目,明鏡及點點欄目,17452,transcript_20260311_235011/295m24.896s-295m25.408s.wav,無法辨識,
transcript_20260311_235011,5655,04:59:16.288,04:59:16.416,299m16.288s-299m16.416s.wav,True,字幕,中文字幕 李宗盛,5164,transcript_20260311_235011/299m16.288s-299m16.416s.wav,無音效,
transcript_20260311_235011,5715,05:02:05.824,05:02:06.048,302m05.824s-302m06.048s.wav,True,感謝[觀收]看,感謝觀看,8236,transcript_20260311_235011/302m05.824s-302m06.048s.wav,無音效,
transcript_20260311_235011,5734,05:03:00.672,05:03:00.800,303m00.672s-303m00.800s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,5164,transcript_20260311_235011/303m00.672s-303m00.800s.wav,無音效,
transcript_20260311_235011,6064,05:23:45.472,05:23:45.632,323m45.472s-323m45.632s.wav,True,字幕,字幕志願者 楊棟樑,6188,transcript_20260311_235011/323m45.472s-323m45.632s.wav,無音效,
transcript_20260311_235011,6329,05:36:44.480,05:36:44.608,336m44.480s-336m44.608s.wav,True,字幕,中文字幕 李宗盛,5164,transcript_20260311_235011/336m44.480s-336m44.608s.wav,無音效,
transcript_20260311_235011,6622,05:54:16.768,05:54:17.152,354m16.768s-354m17.152s.wav,True,MING PAO,MING PAO CANADA // MING PAO TORONTO,13356,transcript_20260311_235011/354m16.768s-354m17.152s.wav,無音效,
transcript_20260311_235011,6702,05:59:20.256,05:59:20.448,359m20.256s-359m20.448s.wav,True,明鏡[及與]點點欄目,明鏡與點點欄目,7212,transcript_20260311_235011/359m20.256s-359m20.448s.wav,無音效,
transcript_20260311_235011,6739,06:01:32.064,06:01:32.480,361m32.064s-361m32.480s.wav,True,我們下[期集]再見,我們下期再見,14380,transcript_20260311_235011/361m32.064s-361m32.480s.wav,無音效,
transcript_20260311_235011,6903,06:08:54.336,06:08:54.464,368m54.336s-368m54.464s.wav,True,字幕,字幕志願者 楊茜茜,5164,transcript_20260311_235011/368m54.336s-368m54.464s.wav,無音效,
transcript_20260311_235011,6918,06:09:32.736,06:09:32.864,369m32.736s-369m32.864s.wav,True,字幕,中文字幕志願者 李宗盛,5164,transcript_20260311_235011/369m32.736s-369m32.864s.wav,無音效,
transcript_20260311_235011,6933,06:10:15.552,06:10:20.672,370m15.552s-370m20.672s.wav,True,字幕,是有字幕還是怎麼樣?這個我也想問就是你看這些東西是有字幕的嗎?你覺得要有字幕嗎?中文字幕,164908,transcript_20260311_235011/370m15.552s-370m20.672s.wav,正確辨識,
transcript_20260311_235011,6934,06:10:20.832,06:10:22.464,370m20.832s-370m22.464s.wav,True,字幕,有中文字幕我那時候,53292,transcript_20260311_235011/370m20.832s-370m22.464s.wav,正確辨識,
transcript_20260311_235011,6935,06:10:22.560,06:10:29.088,370m22.560s-370m29.088s.wav,True,字幕,聽法文然後是配英文字幕然後我就會知道他們在講什麼然後我就說OK所以我應該聽得懂吧,209964,transcript_20260311_235011/370m22.560s-370m29.088s.wav,正確辨識,
transcript_20260311_235011,6936,06:10:29.472,06:10:35.680,370m29.472s-370m35.680s.wav,True,字幕,不要這樣喔我個人是覺得不要放英文字幕或者是不要放其他語言的字幕因為,199724,transcript_20260311_235011/370m29.472s-370m35.680s.wav,正確辨識,
transcript_20260311_235011,6943,06:10:55.904,06:10:56.992,370m55.904s-370m56.992s.wav,True,字幕,開字幕的原因,35884,transcript_20260311_235011/370m55.904s-370m56.992s.wav,正確辨識,
transcript_20260311_235011,6945,06:10:58.400,06:10:59.328,370m58.400s-370m59.328s.wav,True,字幕,中文字幕志願者 楊棟樑,30764,transcript_20260311_235011/370m58.400s-370m59.328s.wav,辨識錯誤,中文
transcript_20260311_235011,6991,06:13:05.504,06:13:05.760,373m05.504s-373m05.760s.wav,True,感謝[觀收]看,感謝觀看,9260,transcript_20260311_235011/373m05.504s-373m05.760s.wav,無音效,
transcript_20260311_235011,6995,06:13:12.864,06:13:13.504,373m12.864s-373m13.504s.wav,True,字幕,中文字幕志願者 李宗盛,21548,transcript_20260311_235011/373m12.864s-373m13.504s.wav,辨識錯誤,跟
transcript_20260311_235011,6998,06:13:23.808,06:13:24.032,373m23.808s-373m24.032s.wav,True,MING PAO,MING PAO CANADA MANGA,8236,transcript_20260311_235011/373m23.808s-373m24.032s.wav,無音效,
transcript_20260311_235011,7008,06:13:40.768,06:13:40.992,373m40.768s-373m40.992s.wav,True,字幕,字幕志願者 李宗盛,8236,transcript_20260311_235011/373m40.768s-373m40.992s.wav,無音效,
transcript_20260311_235011,7045,06:15:20.352,06:15:20.512,375m20.352s-375m20.512s.wav,True,字幕,中文字幕提供,6188,transcript_20260311_235011/375m20.352s-375m20.512s.wav,無音效,
transcript_20260311_235011,7080,06:17:03.264,06:17:03.712,377m03.264s-377m03.712s.wav,True,字幕,字幕by索蘭婭,15404,transcript_20260311_235011/377m03.264s-377m03.712s.wav,無音效,
transcript_20260311_235011,7131,06:19:14.304,06:19:14.656,379m14.304s-379m14.656s.wav,True,MING PAO,MING PAO CANADA MING PAO TORONTO,12332,transcript_20260311_235011/379m14.304s-379m14.656s.wav,無音效,
transcript_20260311_235011,7135,06:19:21.536,06:19:21.728,379m21.536s-379m21.728s.wav,True,字幕,中文字幕 李宗盛,7212,transcript_20260311_235011/379m21.536s-379m21.728s.wav,無音效,
transcript_20260311_235011,7163,06:20:23.488,06:20:23.616,380m23.488s-380m23.616s.wav,True,字幕,中文字幕 李宗盛,5164,transcript_20260311_235011/380m23.488s-380m23.616s.wav,無音效,
transcript_20260311_235011,7227,06:23:29.120,06:23:29.408,383m29.120s-383m29.408s.wav,True,字幕,中文字幕 李宗盛,10284,transcript_20260311_235011/383m29.120s-383m29.408s.wav,無音效,
transcript_20260311_235011,7247,06:24:17.952,06:24:18.144,384m17.952s-384m18.144s.wav,True,字幕,中文字幕提供,7212,transcript_20260311_235011/384m17.952s-384m18.144s.wav,無音效,
transcript_20260311_235011,7260,06:24:41.856,06:24:42.048,384m41.856s-384m42.048s.wav,True,字幕,中文字幕 李宗盛,7212,transcript_20260311_235011/384m41.856s-384m42.048s.wav,無音效,
transcript_20260311_235011,7285,06:25:34.688,06:25:35.040,385m34.688s-385m35.040s.wav,True,字幕,中文字幕 李宗盛,12332,transcript_20260311_235011/385m34.688s-385m35.040s.wav,無音效,
transcript_20260311_235011,7308,06:26:44.896,06:26:45.120,386m44.896s-386m45.120s.wav,True,by bwd6,by bwd6,8236,transcript_20260311_235011/386m44.896s-386m45.120s.wav,無音效,
transcript_20260311_235011,7350,06:28:58.304,06:28:58.560,388m58.304s-388m58.560s.wav,True,字幕,中文字幕提供,9260,transcript_20260311_235011/388m58.304s-388m58.560s.wav,無音效,
